Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
166;1;2;1;51-60;Primary;1;0;1;0;0;0;1;7;0;0;2;3;1;1;0;1;0;1
167;1;2;1;61-70;None;2;0;1;1;0;1;2;5;0;0;2;3;0;1;1;1;1;1
168;1;2;1;31-40;Primary;1;1;1;1;0;1;5;2;1;0;2;3;0;1;1;0;0;1
169;0;2;0;14-20;Secondary;2;1;0;0;0;0;1;5;0;1;2;3;0;1;0;0;0;0
170;0;2;1;14-20;Secondary;1;0;1;0;0;1;2;4;0;0;2;3;1;1;0;0;1;1
171;0;2;0;14-20;Primary;2;1;1;0;0;0;1;12;1;0;2;3;1;0;1;1;0;0
172;0;2;1;31-40;Primary;1;0;1;0;0;1;1;10;0;0;2;3;1;0;0;0;1;0
173;1;2;1;51-60;Secondary;1;0;1;0;0;1;5;2;1;0;2;3;0;1;1;1;0;1
174;0;2;0;41-50;Primary;1;0;1;0;0;1;4;4;0;0;2;3;0;1;1;0;0;1
175;0;2;1;51-60;High;1;0;1;1;1;1;4;1;0;0;3;4;1;1;0;1;0;1
176;0;2;1;31-40;High;1;1;1;1;1;1;4;1;0;1;3;4;1;1;1;1;1;1
177;0;2;1;31-40;Secondary;3;1;1;1;0;1;4;0;1;1;3;4;0;0;0;0;0;1
178;0;2;1;21-30;Secondary;1;0;1;0;0;1;5;0;1;1;3;4;0;1;1;1;0;1
179;1;2;1;31-40;None;1;0;1;1;0;1;5;2;1;0;3;4;0;1;1;1;1;1
180;1;2;1;51-60;Primary;1;0;1;0;0;1;5;1;1;0;3;4;0;1;1;1;1;1
181;1;2;1;51-60;None;1;0;1;1;1;1;4;1;1;0;3;4;1;1;1;1;0;1
182;0;2;0;61-70;None;1;0;1;0;0;1;4;2;1;0;3;4;1;1;1;1;0;1
183;1;2;1;51-60;Primary;2;1;1;0;0;1;5;4;0;0;3;1;0;1;1;1;1;0
184;1;2;1;31-40;None;1;0;1;0;1;1;4;4;1;1;3;1;0;1;1;1;0;1
185;1;2;1;41-50;Primary;1;0;1;0;0;1;3;5;0;0;3;1;0;1;1;1;0;1
186;0;2;1;61-70;None;2;1;1;1;1;1;3;1;1;0;3;1;0;1;1;1;0;1
187;0;2;0;14-20;Primary;1;0;1;0;0;0;2;7;0;0;3;1;1;0;0;0;0;0
188;1;2;1;21-30;Primary;1;0;0;0;0;1;3;1;1;0;3;1;0;1;0;0;0;1
189;0;2;0;41-50;Primary;1;0;1;0;0;1;2;6;0;0;3;1;0;1;0;1;0;1
190;1;2;1;31-40;None;1;0;1;0;0;1;2;6;0;0;3;1;0;1;0;1;0;1
191;0;2;1;31-40;None;1;0;1;0;0;1;1;5;0;0;3;1;0;1;0;1;0;1
192;0;2;0;14-20;Primary;1;0;1;0;0;1;1;8;0;0;3;1;0;1;0;0;0;0
